You are now connected to database "nc_news_test" as user "jd".
 comment_id |                                                                                         body                                                                                         |    author     | article_id | votes | created_at 
------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+------------+-------+------------
          1 | Oh, I've got compassion running out of my nose, pal! I'm the Sultan of Sentiment!                                                                                                    | butter_bridge |          9 |    16 | 2020-04-06
          2 | The beautiful thing about treasure is that it exists. Got to find out what kind of sheets these are; not cotton, not rayon, silky.                                                   | butter_bridge |          1 |    14 | 2020-10-31
          3 | Replacing the quiet elegance of the dark suit and tie with the casual indifference of these muted earth tones is a form of fashion suicide, but, uh, call me crazy — onyou it works. | icellusedkars |          1 |   100 | 2020-03-01
          4 |  I carry a log — yes. Is it funny to you? It is not to me.                                                                                                                           | icellusedkars |          1 |  -100 | 2020-02-23
          5 | I hate streaming noses                                                                                                                                                               | icellusedkars |          1 |     0 | 2020-11-03
          6 | I hate streaming eyes even more                                                                                                                                                      | icellusedkars |          1 |     0 | 2020-04-11
          7 | Lobster pot                                                                                                                                                                          | icellusedkars |          1 |     0 | 2020-05-15
          8 | Delicious crackerbreads                                                                                                                                                              | icellusedkars |          1 |     0 | 2020-04-14
          9 | Superficially charming                                                                                                                                                               | icellusedkars |          1 |     0 | 2020-01-01
         10 | git push origin master                                                                                                                                                               | icellusedkars |          3 |     0 | 2020-06-20
         11 | Ambidextrous marsupial                                                                                                                                                               | icellusedkars |          3 |     0 | 2020-09-20
         12 | Massive intercranial brain haemorrhage                                                                                                                                               | icellusedkars |          1 |     0 | 2020-03-02
         13 | Fruit pastilles                                                                                                                                                                      | icellusedkars |          1 |     0 | 2020-06-15
         14 | What do you see? I have no idea where this will lead us. This place I speak of, is known as the Black Lodge.                                                                         | icellusedkars |          5 |    16 | 2020-06-09
         15 | I am 100% sure that we're not completely sure.                                                                                                                                       | butter_bridge |          5 |     1 | 2020-11-24
         16 | This is a bad article name                                                                                                                                                           | butter_bridge |          6 |     1 | 2020-10-11
         17 | The owls are not what they seem.                                                                                                                                                     | icellusedkars |          9 |    20 | 2020-03-14
(17 rows)

